a	- a
ah	- ah
ai	- ai
ak	- ak
am	- am
an	- an
ang	- ang
ann	- ann
ap	- ap
at	- at
au	- au
ba	b- a
bah	b- ah
bai	b- ai
bak	b- ak
ban	b- an
bang	b- ang
bann	b- ann
bat	b- at
bau	b- au
bauh	b- auh
be	b- e
beh	b- eh
bei	b- ei
ben	b- en
benn	b- enn
ber	b- er
berh	b- erh
bern	b- ern
bet	b- et
bha	bh- a
bhah	bh- ah
bhai	bh- ai
bhak	bh- ak
bhan	bh- an
bhang	bh- ang
bhat	bh- at
bhau	bh- au
bhe	bh- e
bheh	bh- eh
bhen	bh- en
bher	bh- er
bherh	bh- erh
bhet	bh- et
bhi	bh- i
bhiau	bh- iau
bhier	bh- ier
bhih	bh- ih
bhik	bh- ik
bhin	bh- in
bhing	bh- ing
bhio	bh- io
bhit	bh- it
bhiu	bh- iu
bhng	bh- ng
bho	bh- o
bhoh	bh- oh
bhok	bh- ok
bhon	bh- on
bhong	bh- ong
bhu	bh- u
bhua	bh- ua
bhuah	bh- uah
bhuan	bh- uan
bhuat	bh- uat
bhue	bh- ue
bhueh	bh- ueh
bhui	bh- ui
bhuk	bh- uk
bhun	bh- un
bhut	bh- ut
bi	b- i
bia	b- ia
biah	b- iah
biak	b- iak
biang	b- iang
biann	b- iann
biau	b- iau
bie	b- ie
bien	b- ien
bier	b- ier
bierh	b- ierh
biet	b- iet
bih	b- ih
bik	b- ik
bin	b- in
bing	b- ing
binn	b- inn
bio	b- io
bit	b- it
biu	b- iu
bng	b- ng
bo	b- o
boh	b- oh
bok	b- ok
bong	b- ong
bot	b- ot
bu	b- u
bua	b- ua
buah	b- uah
buan	b- uan
buann	b- uann
buat	b- uat
bue	b- ue
bueh	b- ueh
buh	b- uh
bui	b- ui
buinn	b- uinn
buk	b- uk
bun	b- un
buo	b- uo
but	b- ut
ca	c- a
cah	c- ah
cai	c- ai
cak	c- ak
cam	c- am
can	c- an
cang	c- ang
cap	c- ap
cat	c- at
cau	c- au
ce	c- e
ceh	c- eh
cen	c- en
cenn	c- enn
cer	c- er
cern	c- ern
cet	c- et
ci	c- i
cia	c- ia
ciah	c- iah
ciak	c- iak
ciam	c- iam
cian	c- ian
ciang	c- iang
ciann	c- iann
ciap	c- iap
ciau	c- iau
cien	c- ien
cier	c- ier
cierh	c- ierh
ciet	c- iet
cih	c- ih
cii	c- ii
cik	c- ik
cim	c- im
cin	c- in
cing	c- ing
cinn	c- inn
cio	c- io
ciok	c- iok
ciong	c- iong
cionn	c- ionn
ciou	c- iou
cip	c- ip
cit	c- it
ciu	c- iu
ciunn	c- iunn
cng	c- ng
co	c- o
cok	c- ok
cong	c- ong
cop	c- op
cot	c- ot
cu	c- u
cua	c- ua
cuah	c- uah
cuai	c- uai
cuainn	c- uainn
cuan	c- uan
cuann	c- uann
cue	c- ue
cueh	c- ueh
cuei	c- uei
cuh	c- uh
cui	c- ui
cuk	c- uk
cun	c- un
cung	c- ung
cut	c- ut
cyu	cy- u
cyuet	cy- uet
da	d- a
dah	d- ah
dai	d- ai
daih	d- aih
dak	d- ak
dam	d- am
dan	d- an
dang	d- ang
dann	d- ann
dap	d- ap
dat	d- at
dau	d- au
dauh	d- auh
de	d- e
deh	d- eh
dei	d- ei
dem	d- em
den	d- en
denn	d- enn
der	d- er
derh	d- erh
dern	d- ern
det	d- et
di	d- i
dia	d- ia
diah	d- iah
diak	d- iak
diam	d- iam
diang	d- iang
diann	d- iann
diap	d- iap
diau	d- iau
diauh	d- iauh
die	d- ie
dien	d- ien
dier	d- ier
dierh	d- ierh
diet	d- iet
dih	d- ih
dik	d- ik
dim	d- im
din	d- in
ding	d- ing
dinn	d- inn
dinnh	d- innh
dio	d- io
dioh	d- ioh
diok	d- iok
diong	d- iong
dionn	d- ionn
diou	d- iou
dip	d- ip
dit	d- it
diu	d- iu
diuh	d- iuh
diunn	d- iunn
dng	d- ng
do	d- o
doh	d- oh
dok	d- ok
dom	d- om
don	d- on
dong	d- ong
dot	d- ot
dou	d- ou
du	d- u
dua	d- ua
duah	d- uah
duainn	d- uainn
duan	d- uan
duann	d- uann
duat	d- uat
due	d- ue
dueh	d- ueh
duh	d- uh
dui	d- ui
duinn	d- uinn
dun	d- un
dung	d- ung
duo	d- uo
dut	d- ut
e	- e
eh	- eh
