a	ʔ- a
ah	ʔ- aʔ
ai	ʔ- ai
ak	ʔ- ak
am	ʔ- am
an	ʔ- an
ang	ʔ- aŋ
ann	ʔ- aⁿ
ap	ʔ- ap
at	ʔ- at
au	ʔ- au
ba	b- a
bah	b- aʔ
bai	b- ai
bak	b- ak
ban	b- an
bang	b- aŋ
bat	b- at
bau	b- au
be	b- e
beh	b- eʔ
benn	b- eⁿ
ber	b- ə
berh	b- əʔ
bi	b- i
biah	b- iaʔ
biak	b- iak
bian	b- ien
biat	b- iet
biau	b- iau
bih	b- iʔ
bik	b- ik
bin	b- in
bing	b- iŋ
binn	b- iⁿ
bio	b- iə
bioo	b- io
bit	b- it
biu	b- iu
bng	b- ŋ̩
bo	b- ə
boh	b- əʔ
bok	b- ok
bong	b- oŋ
boo	b- o
bu	b- u
bua	b- ua
buah	b- uaʔ
buan	b- uan
buat	b- uat
bue	b- ue
bueh	b- ueʔ
buh	b- uʔ
bui	b- ui
bun	b- un
but	b- ut
e	ʔ- e
eh	ʔ- eʔ
enn	ʔ- eⁿ
er	ʔ- ə
erh	ʔ- əʔ
ga	g- a
gah	g- aʔ
gai	g- ai
gak	g- ak
gam	g- am
gan	g- an
gang	g- aŋ
gap	g- ap
gat	g- at
gau	g- au
gauh	g- auʔ
ge	g- e
geh	g- eʔ
ger	g- ə
gerh	g- əʔ
gi	g- i
gia	g- ia
giah	g- iaʔ
giak	g- iak
giam	g- iam
gian	g- ien
giang	g- iaŋ
giann	g- iⁿaⁿ
giap	g- iap
giat	g- iet
giau	g- iau
gih	g- iʔ
gik	g- ik
gim	g- im
gin	g- in
ging	g- iŋ
gio	g- iə
gioh	g- iəʔ
giok	g- iok
giong	g- ioŋ
gionn	g- iⁿoⁿ
gip	g- ip
git	g- it
giu	g- iu
go	g- ə
goh	g- əʔ
gok	g- ok
gong	g- oŋ
goo	g- o
gu	g- u
gua	g- ua
guah	g- uaʔ
guai	g- uai
guan	g- uan
guann	g- uⁿaⁿ
guat	g- uat
gue	g- ue
gueh	g- ueʔ
guh	g- uʔ
gui	g- ui
gun	g- un
gut	g- ut
ha	h- a
hah	h- aʔ
hai	h- ai
hainn	h- aⁿiⁿ
hak	h- ak
ham	h- am
han	h- an
hang	h- aŋ
hann	h- aⁿ
hannh	h- aⁿʔ
hap	h- ap
hat	h- at
hau	h- au
hauh	h- auʔ
he	h- e
heh	h- eʔ
henn	h- eⁿ
hennh	h- eⁿʔ
her	h- ə
herh	h- əʔ
hi	h- i
hia	h- ia
hiah	h- iaʔ
hiak	h- iak
hiam	h- iam
hian	h- ien
hiang	h- iaŋ
hiann	h- iⁿaⁿ
hiannh	h- iⁿaⁿʔ
hiap	h- iap
hiat	h- iet
hiau	h- iau
hik	h- ik
him	h- im
hin	h- in
hing	h- iŋ
hinn	h- iⁿ
hio	h- iə
hioh	h- iəʔ
hiok	h- iok
hiong	h- ioŋ
hionn	h- iⁿoⁿ
hioo	h- io
hip	h- ip
hit	h- it
hiu	h- iu
hiunn	h- iⁿuⁿ
hm	h- m̩
hng	h- ŋ̩
ho	h- ə
hoh	h- əʔ
hok	h- ok
hong	h- oŋ
honn	h- oⁿ
hoo	h- o
hooh	h- oʔ
hop	h- op
hu	h- u
hua	h- ua
huah	h- uaʔ
huai	h- uai
huainn	h- uⁿaⁿiⁿ
huan	h- uan
huann	h- uⁿaⁿ
huat	h- uat
hue	h- ue
hueh	h- ueʔ
huenn	h- uⁿeⁿ
huh	h- uʔ
hui	h- ui
huih	h- uiʔ
huinn	h- uⁿiⁿ
hun	h- un
hut	h- ut
i	ʔ- i
ia	ʔ- ia
iah	ʔ- iaʔ
iak	ʔ- iak
iam	ʔ- iam
ian	ʔ- ien
iang	ʔ- iaŋ
iann	ʔ- iⁿaⁿ
iap	ʔ- iap
iat	ʔ- iet
iau	ʔ- iau
ie	ʔ- ie
ih	ʔ- iʔ
ik	ʔ- ik
im	ʔ- im
in	ʔ- in
ing	ʔ- iŋ
inn	ʔ- iⁿ
io	ʔ- iə
ioh	ʔ- iəʔ
iok	ʔ- iok
iong	ʔ- ioŋ
ionn	ʔ- iⁿoⁿ
ioo	ʔ- io
iooh	ʔ- ioʔ
ip	ʔ- ip
it	ʔ- it
iu	ʔ- iu
iunn	ʔ- iⁿuⁿ
jan	dz- an
jang	dz- aŋ
jau	dz- au
je	dz- e
ji	dz- i
jia	dz- ia
jiah	dz- iaʔ
jiak	dz- iak
jiam	dz- iam
jian	dz- ien
jiang	dz- iaŋ
jiap	dz- iap
jiat	dz- iet
jiau	dz- iau
jih	dz- iʔ
jik	dz- ik
jim	dz- im
jin	dz- in
jing	dz- iŋ
jio	dz- iə
jiok	dz- iok
jiong	dz- ioŋ
jip	dz- ip
jit	dz- it
jiu	dz- iu
jok	dz- ok
ju	dz- u
jua	dz- ua
juah	dz- uaʔ
juan	dz- uan
jue	dz- ue
jueh	dz- ueʔ
jui	dz- ui
jun	dz- un
jut	dz- ut
ka	k- a
kah	k- aʔ
kai	k- ai
kak	k- ak
kam	k- am
kan	k- an
kang	k- aŋ
kann	k- aⁿ
kap	k- ap
kat	k- at
kau	k- au
kauh	k- auʔ
ke	k- e
keh	k- eʔ
kenn	k- eⁿ
ker	k- ə
kha	kʰ- a
khah	kʰ- aʔ
khai	kʰ- ai
khak	kʰ- ak
kham	kʰ- am
khan	kʰ- an
khang	kʰ- aŋ
khann	kʰ- aⁿ
khap	kʰ- ap
khat	kʰ- at
khau	kʰ- au
khe	kʰ- e
kheh	kʰ- eʔ
khenn	kʰ- eⁿ
khennh	kʰ- eⁿʔ
khi	kʰ- i
khia	kʰ- ia
khiah	kʰ- iaʔ
khiak	kʰ- iak
khiam	kʰ- iam
khian	kʰ- ien
khiang	kʰ- iaŋ
khiann	kʰ- iⁿaⁿ
khiap	kʰ- iap
khiat	kʰ- iet
khiau	kʰ- iau
khie	kʰ- ie
khih	kʰ- iʔ
khik	kʰ- ik
khim	kʰ- im
khin	kʰ- in
khing	kʰ- iŋ
khinn	kʰ- iⁿ
khio	kʰ- iə
khioh	kʰ- iəʔ
khiok	kʰ- iok
khiong	kʰ- ioŋ
khioo	kʰ- io
khiooh	kʰ- ioʔ
khip	kʰ- ip
khit	kʰ- it
khiu	kʰ- iu
khiunn	kʰ- iⁿuⁿ
khiut	kʰ- iut
khng	kʰ- ŋ̩
kho	kʰ- ə
khoh	kʰ- əʔ
khok	kʰ- ok
khong	kʰ- oŋ
khonn	kʰ- oⁿ
khoo	kʰ- o
khu	kʰ- u
khua	kʰ- ua
khuah	kʰ- uaʔ
khuai	kʰ- uai
khuan	kʰ- uan
khuang	kʰ- uaŋ
khuann	kʰ- uⁿaⁿ
khuat	kʰ- uat
khue	kʰ- ue
khueh	kʰ- ueʔ
khuh	kʰ- uʔ
khui	kʰ- ui
khuinn	kʰ- uⁿiⁿ
khun	kʰ- un
khut	kʰ- ut
ki	k- i
kia	k- ia
kiah	k- iaʔ
kiak	k- iak
kiam	k- iam
kian	k- ien
kiang	k- iaŋ
kiann	k- iⁿaⁿ
kiap	k- iap
kiat	k- iet
kiau	k- iau
kie	k- ie
kih	k- iʔ
kik	k- ik
kim	k- im
kin	k- in
king	k- iŋ
kinn	k- iⁿ
kio	k- iə
kioh	k- iəʔ
kiok	k- iok
kiong	k- ioŋ
kionn	k- iⁿoⁿ
kioo	k- io
kip	k- ip
kit	k- it
kiu	k- iu
kiunn	k- iⁿuⁿ
kng	k- ŋ̩
ko	k- ə
koh	k- əʔ
kok	k- ok
kong	k- oŋ
koo	k- o
kooh	k- oʔ
ku	k- u
kua	k- ua
kuah	k- uaʔ
kuai	k- uai
kuainn	k- uⁿaⁿiⁿ
kuak	k- uak
kuan	k- uan
kuang	k- uaŋ
kuann	k- uⁿaⁿ
kuat	k- uat
kue	k- ue
kueh	k- ueʔ
kuh	k- uʔ
kui	k- ui
kuinn	k- uⁿiⁿ
kun	k- un
kut	k- ut
la	l- a
lah	l- aʔ
lai	l- ai
laih	l- aiʔ
lak	l- ak
lam	l- am
lan	l- an
lang	l- aŋ
lap	l- ap
lat	l- at
lau	l- au
le	l- e
leh	l- eʔ
ler	l- ə
lerh	l- əʔ
li	l- i
lia	l- ia
liah	l- iaʔ
liak	l- iak
liam	l- iam
lian	l- ien
liang	l- iaŋ
liap	l- iap
liat	l- iet
liau	l- iau
liauh	l- iauʔ
lih	l- iʔ
lik	l- ik
lim	l- im
lin	l- in
ling	l- iŋ
lio	l- iə
lioh	l- iəʔ
liok	l- iok
liong	l- ioŋ
lioo	l- io
lip	l- ip
lit	l- it
liu	l- iu
liuh	l- iuʔ
lng	l- ŋ̩
lo	l- ə
loh	l- əʔ
lok	l- ok
long	l- oŋ
loo	l- o
looh	l- oʔ
lop	l- op
lu	l- u
lua	l- ua
luah	l- uaʔ
luan	l- uan
lue	l- ue
lueh	l- ueʔ
luh	l- uʔ
lui	l- ui
lun	l- un
lut	l- ut
m	ʔ- m̩
ma	m- a
mah	m- aʔ
mai	m- ai
mau	m- au
me	m- e
meh	m- eʔ
mi	m- i
mia	m- ia
miau	m- iau
mie	m- ie
mih	m- iʔ
mio	m- iə
mioo	m- io
miu	m- iu
mng	m- ŋ̩
moh	m- əʔ
moo	m- o
mooh	m- oʔ
mu	m- u
mua	m- ua
muah	m- uaʔ
muai	m- uai
mue	m- ue
mui	m- ui
na	n- a
nah	n- aʔ
nai	n- ai
nam	n- am
nan	n- an
nang	n- aŋ
nap	n- ap
nau	n- au
ne	n- e
neh	n- eʔ
ng	ʔ- ŋ̩
nga	ŋ- a
ngai	ŋ- ai
ngaih	ŋ- aiʔ
ngau	ŋ- au
nge	ŋ- e
ngeh	ŋ- eʔ
ngi	ŋ- i
ngia	ŋ- ia
ngiau	ŋ- iau
ngioo	ŋ- io
ngoh	ŋ- əʔ
ngoo	ŋ- o
ngu	ŋ- u
ngua	ŋ- ua
ngueh	ŋ- ueʔ
ni	n- i
nia	n- ia
niah	n- iaʔ
niam	n- iam
nian	n- ien
niang	n- iaŋ
niau	n- iau
nie	n- ie
nih	n- iʔ
nim	n- im
nin	n- in
ning	n- iŋ
nioo	n- io
niu	n- iu
niunn	n- iⁿuⁿ
nng	n- ŋ̩
nong	n- oŋ
noo	n- o
nu	n- u
nua	n- ua
nuan	n- uan
nui	n- ui
o	ʔ- ə
oh	ʔ- əʔ
ok	ʔ- ok
om	ʔ- om
ong	ʔ- oŋ
onn	ʔ- oⁿ
oo	ʔ- o
ooh	ʔ- oʔ
pa	p- a
pah	p- aʔ
pai	p- ai
pak	p- ak
pan	p- an
pang	p- aŋ
pann	p- aⁿ
pat	p- at
pau	p- au
pauh	p- auʔ
pe	p- e
peh	p- eʔ
penn	p- eⁿ
per	p- ə
perh	p- əʔ
pha	pʰ- a
phah	pʰ- aʔ
phai	pʰ- ai
phainn	pʰ- aⁿiⁿ
phak	pʰ- ak
phan	pʰ- an
phang	pʰ- aŋ
phann	pʰ- aⁿ
phat	pʰ- at
phau	pʰ- au
phe	pʰ- e
pheh	pʰ- eʔ
phenn	pʰ- eⁿ
phi	pʰ- i
phia	pʰ- ia
phiah	pʰ- iaʔ
phiak	pʰ- iak
phian	pʰ- ien
phiang	pʰ- iaŋ
phiann	pʰ- iⁿaⁿ
phiat	pʰ- iet
phiau	pʰ- iau
phih	pʰ- iʔ
phik	pʰ- ik
phin	pʰ- in
phing	pʰ- iŋ
phinn	pʰ- iⁿ
phio	pʰ- iə
phiok	pʰ- iok
phioo	pʰ- io
phit	pʰ- it
phiu	pʰ- iu
phng	pʰ- ŋ̩
pho	pʰ- ə
phoh	pʰ- əʔ
phok	pʰ- ok
phong	pʰ- oŋ
phoo	pʰ- o
phooh	pʰ- oʔ
phu	pʰ- u
phua	pʰ- ua
phuah	pʰ- uaʔ
phuan	pʰ- uan
phuann	pʰ- uⁿaⁿ
phuat	pʰ- uat
phue	pʰ- ue
phuh	pʰ- uʔ
phui	pʰ- ui
phun	pʰ- un
phut	pʰ- ut
pi	p- i
pia	p- ia
piah	p- iaʔ
piak	p- iak
pian	p- ien
piang	p- iaŋ
piann	p- iⁿaⁿ
piat	p- iet
piau	p- iau
pih	p- iʔ
pik	p- ik
pin	p- in
ping	p- iŋ
pinn	p- iⁿ
pio	p- iə
pioo	p- io
pit	p- it
piu	p- iu
png	p- ŋ̩
po	p- ə
poh	p- əʔ
pok	p- ok
pong	p- oŋ
poo	p- o
pooh	p- oʔ
pu	p- u
pua	p- ua
puah	p- uaʔ
puan	p- uan
puann	p- uⁿaⁿ
puat	p- uat
pue	p- ue
pueh	p- ueʔ
puh	p- uʔ
pui	p- ui
puinn	p- uⁿiⁿ
pun	p- un
put	p- ut
sa	s- a
sah	s- aʔ
sai	s- ai
sainn	s- aⁿiⁿ
sak	s- ak
sam	s- am
san	s- an
sang	s- aŋ
sann	s- aⁿ
sannh	s- aⁿʔ
sap	s- ap
sat	s- at
sau	s- au
se	s- e
seh	s- eʔ
senn	s- eⁿ
serh	s- əʔ
si	s- i
sia	s- ia
siah	s- iaʔ
siak	s- iak
siam	s- iam
sian	s- ien
siang	s- iaŋ
siann	s- iⁿaⁿ
siap	s- iap
siat	s- iet
siau	s- iau
sie	s- ie
sih	s- iʔ
sik	s- ik
sim	s- im
sin	s- in
sing	s- iŋ
sinn	s- iⁿ
sio	s- iə
sioh	s- iəʔ
siok	s- iok
siong	s- ioŋ
sionn	s- iⁿoⁿ
sioo	s- io
siooh	s- ioʔ
sip	s- ip
sit	s- it
siu	s- iu
siuh	s- iuʔ
siunn	s- iⁿuⁿ
siut	s- iut
sng	s- ŋ̩
so	s- ə
soh	s- əʔ
sok	s- ok
som	s- om
song	s- oŋ
soo	s- o
sooh	s- oʔ
sop	s- op
su	s- u
sua	s- ua
suah	s- uaʔ
suai	s- uai
suainn	s- uⁿaⁿiⁿ
suan	s- uan
suann	s- uⁿaⁿ
suat	s- uat
sue	s- ue
sueh	s- ueʔ
suh	s- uʔ
sui	s- ui
suinn	s- uⁿiⁿ
sun	s- un
sut	s- ut
ta	t- a
tah	t- aʔ
tai	t- ai
taih	t- aiʔ
tak	t- ak
tam	t- am
tan	t- an
tang	t- aŋ
tann	t- aⁿ
tap	t- ap
tat	t- at
tau	t- au
tauh	t- auʔ
te	t- e
teh	t- eʔ
tenn	t- eⁿ
tha	tʰ- a
thah	tʰ- aʔ
thai	tʰ- ai
