通用,臺羅
a,a
ah,ah
ai,ai
ak,ak
am,am
an,an
ang,ang
ann,ann
ap,ap
at,at
au,au
ba,pa
bah,pah
bai,pai
bak,pak
ban,pan
bang,pang
bann,pann
bat,pat
bau,pau
bauh,pauh
be,pe
beh,peh
bei,
ben,pian
benn,penn
ber,po
berh,poh
bern,
bet,piat
bha,ba
bhah,bah
bhai,bai
bhak,bak
bhan,ban
bhang,bang
bhat,bat
bhau,bau
bhe,be
bheh,beh
bhen,bian
bher,bo
bherh,boh
bhet,biat
bhi,bi
bhiau,biau
bhier,bio
bhih,bih
bhik,bik
bhin,bin
bhing,bing
bhio,bioo
bhit,bit
bhiu,biu
bhng,bng
bho,boo
bhoh,booh
bhok,bok
bhon,
bhong,bong
bhu,bu
bhua,bua
bhuah,buah
bhuan,buan
bhuat,buat
bhue,bue
bhueh,bueh
bhui,bui
bhuk,
bhun,bun
bhut,but
bi,pi
bia,pia
biah,piah
biak,piak
biang,piang
biann,piann
biau,piau
bie,
bien,pian
bier,pio
bierh,pioh
biet,piat
bih,pih
bik,pik
bin,pin
bing,ping
binn,pinn
bio,pioo
bit,pit
biu,piu
bng,png
bo,poo
boh,pooh
bok,pok
bong,pong
bot,
bu,pu
bua,pua
buah,puah
buan,puan
buann,puann
buat,puat
bue,pue
bueh,pueh
buh,puh
bui,pui
buinn,puinn
buk,
bun,pun
buo,
but,put
ca,tsha
cah,tshah
cai,tshai
cak,tshak
cam,tsham
can,tshan
cang,tshang
cap,tshap
cat,tshat
cau,tshau
ce,tshe
ceh,tsheh
cen,tshian
cenn,tshenn
cer,tsho
cern,
cet,tshiat
ci,tshi
cia,tshia
ciah,tshiah
ciak,tshiak
ciam,tshiam
cian,
ciang,tshiang
ciann,tshiann
ciap,tshiap
ciau,tshiau
cien,tshian
cier,tshio
cierh,tshioh
ciet,tshiat
cih,tshih
cii,
cik,tshik
cim,tshim
cin,tshin
cing,tshing
cinn,tshinn
cio,tshioo
ciok,tshiok
ciong,tshiong
cionn,tshionn
ciou,
cip,tship
cit,tshit
ciu,tshiu
ciunn,tshiunn
cng,tshng
co,tshoo
cok,tshok
cong,tshong
cop,tshop
cot,
cu,tshu
cua,tshua
cuah,tshuah
cuai,tshuai
cuainn,tshuainn
cuan,tshuan
cuann,tshuann
cue,tshue
cueh,tshueh
cuei,
cuh,tshuh
cui,tshui
cuk,
cun,tshun
cung,
cut,tshut
cyu,
cyuet,
da,ta
dah,tah
dai,tai
daih,taih
dak,tak
dam,tam
dan,tan
dang,tang
dann,tann
dap,tap
dat,tat
dau,tau
dauh,tauh
de,te
deh,teh
dei,
dem,
den,tian
denn,tenn
der,to
derh,toh
dern,
det,tiat
di,ti
dia,tia
diah,tiah
diak,tiak
diam,tiam
diang,tiang
diann,tiann
diap,tiap
diau,tiau
diauh,tiauh
die,
dien,tian
dier,tio
dierh,tioh
diet,tiat
dih,tih
dik,tik
dim,tim
din,tin
ding,ting
dinn,tinn
dinnh,tinnh
dio,tioo
dioh,tiooh
diok,tiok
diong,tiong
dionn,tionn
diou,
dip,tip
dit,tit
diu,tiu
diuh,tiuh
diunn,tiunn
dng,tng
do,too
doh,tooh
dok,tok
dom,tom
don,
dong,tong
dot,
dou,
du,tu
dua,tua
duah,tuah
duainn,tuainn
duan,tuan
duann,tuann
duat,tuat
due,tue
dueh,tueh
duh,tuh
dui,tui
duinn,tuinn
dun,tun
dung,
duo,
dut,tut
e,e
eh,eh
ei,
em,
en,ian
enn,enn
er,o
erh,oh
ern,
et,iat
fa,
fan,
fang,
fat,
fi,
fo,
fok,
fong,
fu,
fut,
ga,ka
gah,kah
gai,kai
gak,kak
gam,kam
gan,kan
gang,kang
gann,kann
gap,kap
gat,kat
gau,kau
gauh,kauh
ge,ke
geh,keh
gei,
gen,kian
genn,kenn
ger,ko
gerh,koh
gern,
get,kiat
gha,ga
ghah,gah
ghai,gai
ghak,gak
gham,gam
ghan,gan
ghang,gang
ghap,gap
ghat,gat
ghau,gau
ghe,ge
gheh,geh
ghen,gian
gher,go
ghet,giat
ghi,gi
ghia,gia
ghiah,giah
ghiak,giak
ghiam,giam
ghian,
ghiang,giang
ghiap,giap
ghiau,giau
ghier,gio
ghierh,gioh
ghih,gih
ghik,gik
ghim,gim
