IPA,吳守禮方音,臺羅數字調,臺羅正式調,通用數字調
ʔa1,ㄚ,a1,a,a1
ʔa2,ㄚˋ,a2,á,a4
ʔa3,ㄚ˪,a3,à,a3
ʔa5,ㄚˊ,a5,â,a5
ʔa7,ㄚ˫,a7,ā,a2
ʔaʔ4,ㄚㆷ,ah4,ah,ah7
ʔaʔ8,ㄚ㆐ㆷ,ah8,a̍h,ah6
ʔai1,ㄞ,ai1,ai,ai1
ʔai2,ㄞˋ,ai2,ái,ai4
ʔai3,ㄞ˪,ai3,ài,ai3
ʔai5,ㄞˊ,ai5,âi,ai5
ʔai7,ㄞ˫,ai7,āi,ai2
ʔaiʔ4,ㄞㆷ,aih4,aih,aih7
ʔaiʔ8,ㄞ㆐ㆷ,aih8,a̍ih,aih6
ʔaⁿiⁿ1,ㆮ,ainn1,ainn,ainn1
ʔaⁿiⁿ2,ㆮˋ,ainn2,áinn,ainn4
ʔaⁿiⁿ3,ㆮ˪,ainn3,àinn,ainn3
ʔaⁿiⁿ5,ㆮˊ,ainn5,âinn,ainn5
ʔaⁿiⁿ7,ㆮ˫,ainn7,āinn,ainn2
ʔaⁿiⁿʔ4,ㆮㆷ,ainnh4,ainnh,ainnh7
ʔaⁿiⁿʔ8,ㆮ㆐ㆷ,ainnh8,a̍innh,ainnh6
ʔak4,ㄚㆶ,ak4,ak,ak7
ʔak8,ㄚ㆐ㆶ,ak8,a̍k,ak6
ʔam1,ㆰ,am1,am,am1
ʔam2,ㆰˋ,am2,ám,am4
ʔam3,ㆰ˪,am3,àm,am3
ʔam5,ㆰˊ,am5,âm,am5
ʔam7,ㆰ˫,am7,ām,am2
ʔan1,ㄢ,an1,an,an1
ʔan2,ㄢˋ,an2,án,an4
ʔan3,ㄢ˪,an3,àn,an3
ʔan5,ㄢˊ,an5,ân,an5
ʔan7,ㄢ˫,an7,ān,an2
ʔaŋ1,ㄤ,ang1,ang,ang1
ʔaŋ2,ㄤˋ,ang2,áng,ang4
ʔaŋ3,ㄤ˪,ang3,àng,ang3
ʔaŋ5,ㄤˊ,ang5,âng,ang5
ʔaŋ7,ㄤ˫,ang7,āng,ang2
ʔaⁿ1,ㆩ,ann1,ann,ann1
ʔaⁿ2,ㆩˋ,ann2,ánn,ann4
ʔaⁿ3,ㆩ˪,ann3,ànn,ann3
ʔaⁿ5,ㆩˊ,ann5,ânn,ann5
ʔaⁿ7,ㆩ˫,ann7,ānn,ann2
ʔaⁿʔ4,ㆩㆷ,annh4,annh,annh7
ʔaⁿʔ8,ㆩ㆐ㆷ,annh8,a̍nnh,annh6
ʔap4,ㄚㆴ,ap4,ap,ap7
ʔap8,ㄚ㆐ㆴ,ap8,a̍p,ap6
ʔat4,ㄚㆵ,at4,at,at7
ʔat8,ㄚ㆐ㆵ,at8,a̍t,at6
ʔau1,ㄠ,au1,au,au1
ʔau2,ㄠˋ,au2,áu,au4
ʔau3,ㄠ˪,au3,àu,au3
ʔau5,ㄠˊ,au5,âu,au5
ʔau7,ㄠ˫,au7,āu,au2
ʔauʔ4,ㄠㆷ,auh4,auh,auh7
ʔauʔ8,ㄠ㆐ㆷ,auh8,a̍uh,auh6
ʔaⁿuⁿ1,ㆯ,aunn1,aunn,aunn1
ʔaⁿuⁿ2,ㆯˋ,aunn2,áunn,aunn4
ʔaⁿuⁿ3,ㆯ˪,aunn3,àunn,aunn3
ʔaⁿuⁿ5,ㆯˊ,aunn5,âunn,aunn5
ʔaⁿuⁿ7,ㆯ˫,aunn7,āunn,aunn2
ʔaⁿuⁿʔ4,ㆯㆷ,aunnh4,aunnh,aunnh7
ʔaⁿuⁿʔ8,ㆯ㆐ㆷ,aunnh8,a̍unnh,aunnh6
ʔe1,ㆤ,e1,e,e1
ʔe2,ㆤˋ,e2,é,e4
ʔe3,ㆤ˪,e3,è,e3
ʔe5,ㆤˊ,e5,ê,e5
ʔe7,ㆤ˫,e7,ē,e2
ʔeʔ4,ㆤㆷ,eh4,eh,eh7
ʔeʔ8,ㆤ㆐ㆷ,eh8,e̍h,eh6
ʔeⁿ1,ㆥ,enn1,enn,enn1
ʔeⁿ2,ㆥˋ,enn2,énn,enn4
ʔeⁿ3,ㆥ˪,enn3,ènn,enn3
ʔeⁿ5,ㆥˊ,enn5,ênn,enn5
ʔeⁿ7,ㆥ˫,enn7,ēnn,enn2
ʔeⁿʔ4,ㆥㆷ,ennh4,ennh,ennh7
ʔeⁿʔ8,ㆥ㆐ㆷ,ennh8,e̍nnh,ennh6
ʔi1,ㄧ,i1,i,i1
ʔi2,ㄧˋ,i2,í,i4
ʔi3,ㄧ˪,i3,ì,i3
ʔi5,ㄧˊ,i5,î,i5
ʔi7,ㄧ˫,i7,ī,i2
ʔia1,ㄧㄚ,ia1,ia,ia1
ʔia2,ㄧㄚˋ,ia2,iá,ia4
ʔia3,ㄧㄚ˪,ia3,ià,ia3
ʔia5,ㄧㄚˊ,ia5,iâ,ia5
ʔia7,ㄧㄚ˫,ia7,iā,ia2
ʔiaʔ4,ㄧㄚㆷ,iah4,iah,iah7
ʔiaʔ8,ㄧㄚ㆐ㆷ,iah8,ia̍h,iah6
ʔiak4,ㄧㄚㆶ,iak4,iak,iak7
ʔiak8,ㄧㄚ㆐ㆶ,iak8,ia̍k,iak6
ʔiam1,ㄧㆰ,iam1,iam,iam1
ʔiam2,ㄧㆰˋ,iam2,iám,iam4
ʔiam3,ㄧㆰ˪,iam3,iàm,iam3
ʔiam5,ㄧㆰˊ,iam5,iâm,iam5
ʔiam7,ㄧㆰ˫,iam7,iām,iam2
ʔien1,ㄧㄢ,ian1,ian,en1
ʔien2,ㄧㄢˋ,ian2,ián,en4
ʔien3,ㄧㄢ˪,ian3,iàn,en3
ʔien5,ㄧㄢˊ,ian5,iân,en5
ʔien7,ㄧㄢ˫,ian7,iān,en2
